Date,Realized_PnL,Vine_VaR,Vine_ES,Vine_Std,Vine_Hit,Indep_VaR,Indep_ES,Indep_Std,Indep_Hit,n_I,n_constituents
2025-01-02 12:00:00,175.52025915417468,-907.3360411864264,-1350.8998071184874,476.6495748165528,0,-1504.3370273120993,-2695.2560836575376,886.6509761573905,0,485.1701524246836,7
2025-01-03 12:00:00,81.69089696560559,-746.2332331452182,-1179.7781719771415,448.34402517389344,0,-1365.8361986192904,-2444.651837672425,871.6218698244063,0,477.2225431209403,7
2025-01-06 12:00:00,-225.15341007378166,-1019.2864308016797,-1424.400338325578,511.8483696422632,0,-1677.5273654573461,-2767.8239922841954,883.0746317826762,0,478.46685084910945,7
2025-01-07 12:00:00,-354.44795020362415,-601.473292695916,-921.0902844363139,451.0903701772595,0,-1198.6715825098497,-2160.080422623369,815.0441018511298,0,481.7992098417447,7
2025-01-08 12:00:00,-153.2418639476536,-415.9229746282569,-621.543804250075,415.4802719812305,0,-915.5885066150857,-1694.0026533668395,691.9594065646546,0,478.3570780439093,7
2025-01-10 12:00:00,-527.0032025885073,-751.7479504456313,-1115.0316785472612,459.44307794420365,0,-1468.143264965237,-2497.352158495767,843.6671076368965,0,479.48668163544386,7
2025-01-13 12:00:00,-463.0565848992474,-841.9425823430113,-1105.2205217869216,530.6227724857231,0,-1475.6157202479756,-2470.399049326933,805.4171236799937,0,477.8361028936225,7
2025-01-14 12:00:00,155.83686482568234,-645.5548091704492,-1054.7638725500358,440.9087291579555,0,-1475.0552006516452,-2569.3100425647585,926.3650721107622,0,476.0519341609035,7
2025-01-15 12:00:00,-254.6898535273629,-731.8117849113917,-1154.9749484241486,457.1747274075975,0,-1584.6889989333117,-2799.005946245237,966.4998879807937,0,478.8095572538326,7
2025-01-16 12:00:00,-66.9536560899966,-722.0222884635447,-1125.5676315503683,487.16055468574336,0,-1624.5382826043108,-2936.101125456603,1011.4712492300843,0,479.34389407820964,7
2025-01-17 12:00:00,124.26816873869406,-692.8051247683959,-1057.0677074590992,491.0036378818173,0,-1538.4049853600393,-2898.2133194153266,1045.9240124155206,0,475.0817890295649,7
2025-01-21 12:00:00,-221.5189653426519,-1202.9214940415134,-1498.4702692969968,461.6877338413179,0,-1998.576464628089,-3221.170261579356,926.0370138244613,0,477.2906786982382,7
2025-01-22 12:00:00,429.00050486091584,-498.8560973868898,-748.071269062292,437.0832471105168,0,-1159.9823575385901,-2128.3665576882568,818.614631589406,0,470.02273989704804,7
2025-01-23 12:00:00,-226.75812896056095,-428.2981734741666,-641.4578943580501,511.9581145592901,0,-1109.642140946833,-2053.0095697376405,807.9379386690223,0,473.8198447535321,7
2025-01-24 12:00:00,-186.78720320689098,-373.63839170441,-550.1404288006295,434.8795906152979,0,-1030.5678175966273,-1863.9360064628202,779.4393825110274,0,474.7081373175966,7
2025-01-27 12:00:00,926.9239706026452,-799.5714052599208,-1012.2381112912987,476.6157681388404,0,-1498.2638985995648,-2449.34956677684,856.558896106999,0,473.35344790966735,7
2025-01-28 12:00:00,867.7257364439137,-333.18903922504364,-506.50384296398073,527.8433903704665,0,-797.9017648885601,-1464.030527144499,642.6721756073593,0,471.3592351648121,7
2025-01-29 12:00:00,-193.03651026493898,-896.3095847625619,-1448.964827715129,526.1655032706321,0,-1726.3502134062696,-3207.514554724752,1088.3969212141087,0,476.3668002752865,7
2025-01-30 12:00:00,1212.1013469548107,-718.4780696184799,-1144.7604124431853,516.890244723036,0,-1438.8257892056424,-2633.579804841278,986.4632411500266,0,473.49615556258476,7
2025-01-31 12:00:00,12.028598406484655,-714.7891738878142,-1179.2869899867676,538.1907501381087,0,-1447.720513273447,-2916.089940116517,1079.4531345939024,0,465.67355777558504,7
2025-02-03 12:00:00,234.47014471647117,-891.3507680915387,-1293.2781079575936,775.1713536051404,0,-1764.8944135343734,-2866.319340072569,1023.1043954221874,0,467.18092807571145,7
2025-02-04 12:00:00,-55.454240641623194,-298.8237325672821,-485.36754553687445,539.5887378463254,0,-849.5460477279356,-1703.38082548523,794.3667304251546,0,458.73451500025345,7
2025-02-05 12:00:00,321.368515550999,-516.29345999807,-894.3745805572602,665.3843701646178,0,-1357.402383767702,-2775.759290151411,1143.4157199388171,0,459.56207524308934,7
2025-02-06 12:00:00,86.38645189911313,-402.83321521967804,-697.0403027564787,667.8232023672637,0,-1157.1892363148954,-2315.372840094213,1050.7466212708143,0,456.06463718353274,7
2025-02-07 12:00:00,66.51627926121066,-301.57771939622165,-552.5709874444689,629.4595037757482,0,-1135.5245104743865,-2328.616584889493,1083.2085877794148,0,454.299480596145,7
2025-02-10 12:00:00,-368.3078818212122,-516.779970843406,-710.9271411287789,660.5344378346498,0,-1236.7673250690414,-2224.13438273927,1006.1738163822914,0,451.8379032139612,7
2025-02-11 12:00:00,505.21089110432166,-217.53287054776897,-400.61998526139735,668.9473446609962,0,-918.7856235525308,-1888.4501812981925,930.6194485441158,0,450.7033772620996,7
2025-02-12 12:00:00,-105.18075122943478,-191.1455934638121,-347.0350040684729,709.0382871770635,0,-785.839752226974,-1625.544097889457,844.5915165479355,0,446.51907510909405,7
2025-02-13 12:00:00,131.14307400748515,-172.6784730081024,-301.5408219618108,677.9171197779797,0,-782.6433978628384,-1559.8225680586622,892.5498969218935,0,446.52602692820193,7
2025-02-14 12:00:00,-132.5362854803928,-188.03660192141396,-322.1013812630874,674.5890437390174,0,-864.1633080511466,-1824.5802079650864,897.7170947540167,0,447.61109549597154,7
2025-02-18 12:00:00,-403.8807240912664,-619.4705383677623,-740.9145399443504,707.7151786319092,0,-1264.2496416786032,-2158.987688324992,917.8561340049417,0,447.0782460201614,7
2025-02-19 12:00:00,-82.07310378696593,-146.45009542276847,-224.02645712472835,754.1748918961736,0,-631.3240554145959,-1317.971421643292,818.2015101812424,0,447.68850755823826,7
2025-02-20 12:00:00,-150.41787533700182,-148.99555030125285,-210.16020983937307,633.8295863193977,1,-659.1018687048667,-1334.0722799794526,774.2678130093009,0,448.32834705803526,7
2025-02-21 12:00:00,-32.343225748455524,-143.32207390717804,-206.90933220776276,635.8842090903297,0,-588.8665939169019,-1160.4455539807936,716.0826227916217,0,451.38635537104676,7
2025-02-24 12:00:00,-594.8362093058678,-441.27389879715747,-537.8669965152914,540.6256886539037,1,-995.7313536590539,-1759.7655882918687,777.611202005389,0,448.97956347582806,7
2025-02-25 12:00:00,47.09795475065887,-149.6415166460309,-224.35890705851017,550.4540257156317,0,-572.4831487137454,-1128.1130556065657,653.3024095554653,0,448.43257258404304,7
2025-02-26 12:00:00,320.58248400749983,-240.02948909000628,-393.4226323299631,441.14282259105863,0,-794.2784210647116,-1613.00298976806,739.9494158634935,0,445.30653117948225,7
2025-02-27 12:00:00,-235.9009380474367,-418.06444411093844,-701.7288585117105,468.6585253894536,0,-1205.941503173666,-2255.396581181209,907.2215653925443,0,442.2034806330256,7
2025-02-28 12:00:00,-151.6864880780783,-236.10814647764565,-410.5050902893161,536.9130632840568,0,-917.7868366614282,-1917.3461191214142,851.3027824250017,0,439.4026149740548,7
2025-03-03 12:00:00,-195.7028990563794,-567.548642725615,-752.0591444921773,452.41597002621165,0,-1349.7282098720725,-2314.0426031867096,839.4127082569534,0,418.0604189771365,7
2025-03-04 12:00:00,-347.4813102427014,-578.1564498758084,-980.3035761164404,635.7840155359942,0,-1407.1034961746332,-2785.0229713193403,1012.8307649529656,0,469.8443623623517,7
2025-03-05 12:00:00,317.6160702289538,-274.69150623957177,-463.9403561958603,505.8911716492614,0,-967.0919574575192,-1864.416325981296,811.3326709883501,0,437.0907678581188,7
2025-03-06 12:00:00,36.544812902503324,-595.3741094721413,-1028.4951494909635,494.73290640217016,0,-1377.8066902289208,-2601.329873178836,987.9610734506524,0,438.08777949242506,7
2025-03-07 12:00:00,170.52782183406575,-517.2564281423589,-900.9943949356773,528.1042351056979,0,-1212.6948759625575,-2427.6257871184407,968.3582419177259,0,438.8255496672842,7
2025-03-10 12:00:00,364.92034226862654,-665.8527391022311,-978.0732587127011,435.06652571990315,0,-1393.4624356282914,-2398.8477409641705,867.9914194095686,0,437.89439098044255,7
2025-03-11 12:00:00,68.30882123799088,-564.6135486861905,-971.3701204884636,389.1809232864607,0,-1278.7507530371258,-2389.2205460476625,831.6571879043325,0,430.99343843689746,7
2025-03-12 12:00:00,553.8577622567293,-532.9228725946689,-903.2108363141236,432.8946648784708,0,-1254.4881667481714,-2506.8327100469487,931.634167293908,0,431.59615089046235,7
2025-03-13 12:00:00,-158.212930493335,-588.592305410082,-1019.4299929541268,505.53268867418893,0,-1385.377298088593,-2706.256599551032,1002.8175774012938,0,434.5713321688034,7
2025-03-14 12:00:00,125.4846714215395,-422.01146626009665,-750.3859272981949,504.44543523097684,0,-1166.3785671785688,-2297.0407248394044,903.0210023801162,0,433.7762182432457,7
2025-03-17 12:00:00,-169.6563136463175,-759.5122620877164,-1172.438434270415,529.8468560054704,0,-1731.5636332616884,-3217.9365297982968,1159.9156538020172,0,435.70290938501626,7
2025-03-18 12:00:00,-86.9683798120025,-415.1617154142583,-706.0784721424095,424.35653711814774,0,-1239.0139799610427,-2566.491787479859,982.7665324736445,0,429.6954270826979,7
2025-03-19 12:00:00,-23.129815181124446,-360.5532766870654,-603.7031550996497,528.0771580792023,0,-1090.810392703861,-2105.554131790859,900.0438583991256,0,429.64866308566116,7
2025-03-20 12:00:00,-81.45503914932898,-386.13571553411555,-672.5670352418668,455.19664518708146,0,-1248.1334466337942,-2420.0981228076676,942.4261428988988,0,430.6724705860452,7
2025-03-21 12:00:00,-55.8219209724502,-317.63093774199825,-534.8567186124428,527.4039620252842,0,-1171.014638057911,-2279.5154125703184,949.490900278955,0,429.6093499470422,7
2025-03-24 12:00:00,441.03307654180355,-443.56756672793654,-617.3167117944134,478.5722487741021,0,-1249.8808756109825,-2335.590001797383,894.526419876928,0,432.8904893513088,7
2025-03-25 12:00:00,111.80002717862665,-364.19223738296165,-617.6687318225696,433.7565986247055,0,-1294.4935843833955,-2627.499529826498,1005.9236749447051,0,437.9728267524132,7
2025-03-26 12:00:00,-63.31320560675191,-309.5904976320046,-519.1261951205263,560.3316965167139,0,-1210.512942215412,-2291.349319724371,940.2537718105314,0,440.3228632525483,7
2025-03-27 12:00:00,49.889355709486445,-247.92603187248633,-407.59025102906264,526.0549236071066,0,-1010.6945691920313,-2000.2655881053847,843.7270916932711,0,439.6146949839438,7
2025-03-28 12:00:00,-173.47813750646273,-328.0651210498831,-536.9211904375527,562.386034900354,0,-1120.1822507243553,-2323.564138338156,930.4494537788153,0,442.4976592599591,7
2025-03-31 12:00:00,-209.32356054389376,-522.2944168367717,-700.2207281493346,475.6528747256503,0,-1277.5841518328573,-2320.47462422284,850.3197337501691,0,438.78736339700976,7
2025-04-01 12:00:00,503.0272189919504,-602.9630814263022,-987.313249088778,397.05259696653616,0,-1477.718107705525,-2743.7288288875866,944.4048200893785,0,449.8613339609188,7
2025-04-02 12:00:00,-86.22052398634403,-752.868160047071,-1200.1960131851072,469.0825966814306,0,-1727.4624257731034,-3305.7559839089895,1157.8620737504186,0,456.11187273469875,7
2025-04-03 12:00:00,-10.518243031869766,-512.0906183291695,-793.0567042609994,521.4191001506067,0,-1350.3129527996125,-2607.648904786178,942.3581125921327,0,441.41307779722706,7
2025-04-04 12:00:00,-1403.36702618702,-363.8297639422445,-566.9241652552431,610.398771913923,1,-983.0133815761204,-1828.7557387124405,745.0106949946534,1,438.3666268477068,7
2025-04-07 12:00:00,-5.371824416562774,-858.8448011701448,-1201.9148996471813,402.4155733837781,0,-1666.2368667902824,-2833.4814619284866,900.2253829772637,0,439.4661223946909,7
2025-04-08 12:00:00,44.94812580975017,-981.3670471238453,-1643.0688881001317,507.32480891747616,0,-1922.4607752405823,-3321.6114461082484,1046.3192394039122,0,434.8530169839282,7
2025-04-09 12:00:00,-808.0211880834785,-1334.7001250706003,-2211.130030963889,666.6568908798503,0,-2457.111015828866,-4771.714565122809,1479.0651959808733,0,436.57494560817867,7
2025-04-10 12:00:00,-496.3115080620554,-747.6746338024373,-1245.1111435117039,471.46658491435204,0,-1680.847143886672,-2924.137385034013,1044.9769543600594,0,439.7475189739393,7
2025-04-11 12:00:00,378.9807506707841,-1345.9248068965812,-2230.4966294132805,663.4438917660161,0,-2569.6459246434724,-4756.474963141687,1568.068948876552,0,438.1254092505932,7
