,G_PC_1,G_PC_2,G_PC_3,L_PC_AAPL_1,L_PC_AAPL_2,L_PC_AAPL_3,L_PC_AMZN_1,L_PC_AMZN_2,L_PC_AMZN_3,L_PC_GLD_1,L_PC_GLD_2,L_PC_GLD_3,L_PC_GOOGL_1,L_PC_GOOGL_2,L_PC_GOOGL_3,L_PC_GOOGL_4,L_PC_IWM_1,L_PC_IWM_2,L_PC_IWM_3,L_PC_JPM_1,L_PC_JPM_2,L_PC_JPM_3,L_PC_MSFT_1,L_PC_MSFT_2,L_PC_MSFT_3,L_PC_NFLX_1,L_PC_NFLX_2,L_PC_NFLX_3,L_PC_NVDA_1,L_PC_NVDA_2,L_PC_NVDA_3,L_PC_QQQ_1,L_PC_QQQ_2,L_PC_QQQ_3,L_PC_SPY_1,L_PC_SPY_2,L_PC_SPY_3,L_PC_TLT_1,L_PC_TLT_2,L_PC_TLT_3,L_PC_TLT_4,L_PC_TLT_5,L_PC_TSLA_1,L_PC_TSLA_2,L_PC_TSLA_3,L_PC_V_1,L_PC_V_2,L_PC_V_3
2020-01-02,-5.816796204429439,0.8700654126978835,-0.47365718101447085,5.428482324662019,0.5187964827347953,0.6832858930794087,-1.1735385955988085,0.7850753309510603,-1.3056203873869525,2.0828148250954612,-2.2156943082097023,-0.07074679423341698,-4.112651993970573,0.0014646574445792981,-0.36559954109951776,-0.558677732277882,-2.683760185651008,1.3925945087307028,-0.015299930906645248,1.338826160767357,-0.28634129500265815,-0.5389902491616548,-0.30889068466500336,-0.01610903474242186,-0.23160099446771473,2.8181535035331553,-0.5978657410125737,0.6954642918281848,-4.497014924440114,0.32059379898882095,-0.6712877813846554,-0.7906683841809704,0.42086422868616025,0.743561478531633,-0.2532300661225187,-0.38499495787182025,0.5455254318661528,-2.806192500215299,1.1311605463584247,-0.22904051017121063,0.07763222352135574,-0.23621289258127198,0.9663563480223734,-0.4679907570091612,0.0016473510703291089,1.9068770325042237,-0.5772275592577832,-0.0392912331052537
2020-01-03,-5.822429431311814,0.6535294612891499,-0.5296314533300345,5.8283161983086185,0.6376021378955103,0.7727923321061381,-1.1832160240736642,0.9174517674305408,-1.2339416898261801,2.2890583125718345,-3.0580039131186507,0.19434251087933602,-3.8780602070207943,0.31841540488870357,0.46678415021594,-0.5371013290052142,-2.881601211898801,1.202128613618497,-0.4599178774242871,1.7716130036376234,0.0652771421129934,-0.5149749009798454,-0.1097841564929349,-0.07290612741070733,-0.47652796155286836,2.5386947511740297,-0.5814720649470516,0.753989311761102,-4.363756235672741,0.28069209997663386,-0.20608512808196772,-1.333436037295824,-0.4047097878859418,0.32101451772795925,-0.7880935578171979,-1.0853968935144036,1.2898728273883282,-2.6763484038461973,1.566287975346477,0.046904610569654615,0.45368895873383286,-0.010128627536134305,0.9277418864942051,-0.514812528503313,-0.5237386743651695,1.8611287293079308,-0.7125161943091568,0.31261598160705373
2020-01-06,-5.726095293202749,0.5973131507712569,-0.5615991838883486,5.660576311515107,0.4214564477714081,0.9293610567679834,-1.3235296094662732,0.7558472527374537,-1.394216533400173,2.525831700868274,-2.933933434423824,0.07654913712828378,-3.729456283354509,0.6414560177834872,0.44773944628485224,-0.8399637004006681,-3.1565151494446733,1.3968053983487256,-0.5665074127285092,1.9562019833961288,-0.10573310578350247,-0.19492784198687002,-0.03660796500189325,-0.07266174492087063,-0.2972542850444955,2.263717654825767,-0.6679646199723795,0.7072915302534976,-4.27627563896615,1.0397239724673373,-0.6028542527029364,-1.6758755078705536,-0.8772923788979314,0.37397570752280235,-0.42351865152777735,-0.3961508214514997,1.6938185586645242,-2.870442485937469,1.0673759354486747,0.3020756679437361,0.6023478556076954,-0.08599184198788279,1.0512439397139666,-0.8530001710313597,-1.0448060319792705,1.797234203720133,-0.8755924190031068,0.24613376277596136
2020-01-07,-5.875850430008571,0.3228089968570811,-0.5439107127348407,5.65724345788365,0.3152211919234588,0.9361448676197096,-1.6499387159685688,0.8269309209728779,-1.3188077273653822,2.411346231529829,-2.8536474725442442,-0.004977180679040641,-3.9040994451037987,0.34863960586757187,0.6350141151587942,-0.9966664584059035,-2.92060046924841,1.4606357899864322,-0.29630293224151083,2.8416899686500208,-0.1807836023709234,-0.0025989454933232903,-0.01990952698975516,-0.12088678181885633,-0.3326071858640739,2.1569822174586832,-0.7593937889317413,0.7709399333886937,-4.276481687650003,1.1243407506420156,-0.4539613548007907,-2.1033249315558473,-0.8273469279658267,0.2790117534440399,-0.45388602162506375,-0.6714370667682454,1.5938067202258845,-3.0655495397681767,1.2949293462045768,0.2032477353051267,0.8933321373625734,0.07048944928923895,1.1987709373206201,-0.6837100460508307,-1.1448169844082996,1.8274435648055634,-1.1230485244556114,0.17032749652269152
2020-01-08,-5.836570393024484,0.801108830625125,-0.4636170245734056,5.425449704902501,0.3157279631659333,0.7767748123142261,-1.0297221792766473,0.6647897355557355,-1.399897408774797,1.6872937071494094,-2.113526773599453,-0.16957356152125797,-4.000480820935476,-0.7930731427474749,0.47184038796885264,-1.4788070466862617,-2.8582246641338234,1.1769450988495407,0.08609104844086032,2.0864583068087383,0.125236265466256,-0.3137172288483042,-0.20434829633487578,0.05174660944216476,-0.1700551606824666,3.6230045210830966,1.129754977352518,-0.31916482768317667,-4.471865059497938,0.38815108696425954,-0.47018296359986833,-1.9644535935226228,-0.7498212046353785,0.33207916290514883,-0.48261193517749623,-0.49261544713750993,0.8096720635564583,-2.582640332445381,0.9784483223089394,0.34788647820831714,0.3866640019512636,-0.1587112727933745,1.6535892677508406,-0.20275745436733975,-0.6827707407296483,1.383341277375103,-1.0654482340592277,0.1476099157244873
2020-01-09,-5.848749677677252,0.8780804284306436,-0.40623107938129904,5.9719664418510074,0.5638474893227559,0.751268629494983,-0.9548497060798382,0.4805503123377812,-1.4255164211376923,1.2877296435940428,-1.6995430290163418,-0.050731694656788846,-3.715271521159326,-0.11699312026458547,0.11568540618661477,-0.9614776497101516,-3.0069009817953813,0.861145636190382,0.23346262977221763,1.7676988026422917,-0.27113858758189036,-0.3033677064435767,-0.24235785566184423,0.013873831874638858,-0.27579106891282756,3.982007613882914,0.8938564677064625,-0.3337128487678733,-4.628997811798065,0.1400281287201302,-0.6945828710581767,-1.743162489363647,0.11324281567711969,0.33896294002349897,-0.41503910587931536,-0.016469090660680488,0.4776934730622631,-2.814574680218467,0.7530146969990698,0.026774482806461664,0.5817340891843755,-0.11580057043060599,1.5893375227631326,0.33732078516720154,-0.3803364776343632,1.3127493389673779,-1.4287753464288135,0.22125001789693727
2020-01-10,-5.99432834573307,0.7396149812847522,-0.4032826162964158,6.115567685298009,0.5092596532225289,0.8094756219459373,-1.1347269284810457,0.3964636379199593,-1.5164198253228536,1.3783160959510998,-1.7922788656196302,-0.017146357674103135,-3.770474145708338,0.11668608314455597,0.09637699169256231,-0.8409691398679515,-3.0106410266049424,0.9645694836409743,-0.08449332734772294,1.8039150073818189,-0.29391000477569473,-0.5169865106723865,-0.339012172847034,-0.00925086297991669,-0.5836920711168815,3.8093703757306394,0.9448147945935259,-0.31865089407831676,-4.34075297169427,1.0792314612346057,-0.7010139815885238,-1.8692255360148422,-0.08751843941481391,0.3679246812269941,-0.4341450344339615,-0.39392976897793386,0.4695449687148578,-2.7255216739028136,0.5671054427578657,0.170924072626174,0.3647164577989748,-0.23186679659047238,1.5517293989148409,0.1867253221778786,-0.3132063165734414,1.108989133389924,-1.3055398085160197,0.16163094854190252
2020-01-13,-5.995440241684153,0.5621561896723264,-0.4130569760611459,6.299130216365733,0.6035395735707032,0.8462710829728088,-1.425910638314274,0.4138879340260032,-1.4339200507734262,0.9211870677252152,-1.8909838675076152,-0.1746325293926187,-3.8081372083475777,0.00478101237828904,0.38849633910087245,-0.8366947002784548,-3.0917195810516733,0.8794189221559181,-0.04775301787030292,2.0405839834935824,-0.19541135450443414,-0.4584135347977368,-0.1570618633269665,-0.1910565137109571,-0.8865891806358508,4.045250051777869,0.8391988592219619,-0.09890005303506205,-4.449578060023751,0.7414261442701258,-0.5969950345304029,-1.97714291037519,-0.2051211663672722,0.08415201306918699,-0.4349198254363108,-0.20159056675103124,0.7764486626213993,-3.7872990975259904,0.4668248599484693,-0.08931487024733412,0.6619178839935062,-0.04644092016910939,2.3557370120215158,0.5605901945719355,-0.47343107455329675,1.7205533115609626,-1.6121438110725135,0.1157517493681201
2020-01-14,-6.197557266642221,0.45523466294814363,-0.3381988836689399,6.358708701949285,0.4127343608682208,0.8593680118871269,-1.5393287527372688,0.27410475226043546,-1.4680021940333092,0.5159045764377097,-1.7555674825939696,-0.15308476750455446,-3.8808588122994703,0.039335515515463715,0.48481034088085434,-0.8768491427980258,-3.1366171680743467,0.8385915448927791,0.031379077909803044,1.764397708413602,-0.4927653531088177,-0.33663397171224985,-0.08379896240045079,-0.14143679312128626,-0.6981939941263756,4.428703453161842,1.2231119324067863,-0.17461741745970574,-4.152618836392234,1.0459036583958214,-0.7503978666920087,-1.852552282059071,-0.19450467017586465,0.16321327609785433,-0.6470088330712608,-0.49132635395010593,0.7314275655668064,-4.037858342848997,0.3475436675303022,0.179741140861212,0.8597347624716665,-0.13101972026686748,2.6628542811105316,0.8767431187637338,-0.1344438998615857,1.6829170329362417,-1.5315384641932905,0.10856913539689819
2020-01-15,-5.937416346821451,1.2300351130463585,-0.22899245144552632,6.167280339134743,1.4863489922673272,0.429923048126823,-0.10212043710742348,0.9828149541234725,-0.9031428555181908,0.3685882531329164,-1.5268509805023545,0.08737176708648642,-3.3302379993357274,-0.41516204294664605,-0.04216805802586282,-0.6964092237068888,-2.951195067465604,0.5769477122713387,0.4659587488958033,0.35080402347570794,-1.3200721250018017,-0.69338492256385,-0.12889917906441914,0.44635890497268926,0.04575946100590665,4.47109526430256,0.09227727310279826,-0.2599953031620887,-4.3427810908401785,0.023244836231458843,-0.6924910801278672,-1.5025288680609628,-0.11513178884373618,0.269917906866918,-0.6559626087595285,-0.6783795087580795,0.07896328488599043,-3.1885997701991915,0.6127179880537964,-0.0323761105433521,0.4690765040971615,-0.18533094176918308,2.398442025036596,1.5498409997865443,0.5038769209966094,1.0972142593791503,-0.6462830981215134,0.5415403701272008
