Date,G_PC_AAPL_1,G_PC_AAPL_2,G_PC_AAPL_3,G_PC_AMZN_1,G_PC_AMZN_2,G_PC_AMZN_3,G_PC_GLD_1,G_PC_GLD_2,G_PC_GLD_3,G_PC_GOOGL_1,G_PC_GOOGL_2,G_PC_GOOGL_3,G_PC_IWM_1,G_PC_IWM_2,G_PC_IWM_3,G_PC_JPM_1,G_PC_JPM_2,G_PC_JPM_3,G_PC_MSFT_1,G_PC_MSFT_2,G_PC_MSFT_3,G_PC_NFLX_1,G_PC_NFLX_2,G_PC_NFLX_3,G_PC_NVDA_1,G_PC_NVDA_2,G_PC_NVDA_3,G_PC_QQQ_1,G_PC_QQQ_2,G_PC_QQQ_3,G_PC_SPY_1,G_PC_SPY_2,G_PC_SPY_3,G_PC_TLT_1,G_PC_TLT_2,G_PC_TLT_3,G_PC_TSLA_1,G_PC_TSLA_2,G_PC_TSLA_3,G_PC_V_1,G_PC_V_2,G_PC_V_3,L_PC_AAPL_1,L_PC_AAPL_2,L_PC_AAPL_3,L_PC_AMZN_1,L_PC_AMZN_2,L_PC_AMZN_3,L_PC_GLD_1,L_PC_GLD_2,L_PC_GOOGL_1,L_PC_GOOGL_2,L_PC_GOOGL_3,L_PC_GOOGL_4,L_PC_IWM_1,L_PC_IWM_2,L_PC_IWM_3,L_PC_JPM_1,L_PC_JPM_2,L_PC_JPM_3,L_PC_MSFT_1,L_PC_MSFT_2,L_PC_MSFT_3,L_PC_NFLX_1,L_PC_NFLX_2,L_PC_NFLX_3,L_PC_NVDA_1,L_PC_NVDA_2,L_PC_QQQ_1,L_PC_QQQ_2,L_PC_SPY_1,L_PC_SPY_2,L_PC_TLT_1,L_PC_TLT_2,L_PC_TLT_3,L_PC_TSLA_1,L_PC_V_1,L_PC_V_2,L_PC_V_3
2020-01-02,-8.4669387570356,0.975965225978044,2.190779811604923,-11.618277191506866,-3.493381427135942,4.975712620770982,-29.731280359413557,-4.766334938943673,12.517320988273134,-18.709721124980387,-2.459401256502884,-1.6429355844125504,-25.395133329337902,4.02659326627795,-3.2734277592278493,-16.576534131449446,2.316049627434137,0.6074529284024031,-15.038358776722866,1.5217815364159857,0.5320511400144782,6.437308011335819,-4.937700477956999,-1.073498940637268,7.463861667176101,-0.2080619844318323,-1.2726341249945343,-24.36108340470431,4.762688891537992,-2.4723006248772337,-31.167345137056,1.9359001071021549,-4.1490703623980885,-33.056274998364415,-1.8364665042550392,7.226955694509829,28.659205860903093,-3.80642031739555,-0.4996882706020007,-16.11298596219826,4.426514863479994,0.2329029822620193,0.14064041460587784,0.10818613696133342,-0.1169669293305846,0.2779071078424135,0.01295850108413062,-0.08005277762812663,0.044232649629435364,-0.05492634839457418,0.16927774399788834,0.17175287381724968,-0.06169741952403354,-0.11439977235007542,0.04617151876144617,0.1569708724018722,-0.3923136986895387,0.18288385804996032,-0.04784330736184131,0.19416567574607127,0.02967955662593293,0.09038971742481168,0.25344860393682755,-0.08842989779895637,0.028709963727811684,-0.047687290675630135,-0.13885071340475896,-0.18210202509931778,-0.11028988118153867,-0.02646319283331601,0.1242960869694206,-0.05513105343572985,0.39564148460611687,-0.2811801615525371,-0.010735802437545381,-0.31110562817188797,0.1372919983077871,-0.12460948975109758,0.19157136784648746
2020-01-03,-8.482036334734547,-0.0210116795846386,2.092030735382516,-11.54766319076175,-4.357673386273679,4.283988705484048,-29.57756053765187,-5.426044976350247,14.06259364145533,-18.010877309422415,-2.04685214118392,-1.6973347048665648,-26.898196147699014,2.210703762809649,-4.196232957185662,-15.56564141449016,4.127027392551484,-0.1195071939320491,-15.64898443047242,-0.2263084778126534,-0.1315906173402101,5.758978551564747,-6.131462687633099,-1.7734496541776623,6.614244444808097,-2.513772132792523,-2.1901516424052314,-26.33732381656257,2.8504936817991897,-4.287140971359739,-32.432710329098846,0.7296350885287008,-5.769906326691621,-32.381648003863056,-1.6750677298085233,7.931767190516496,25.52555791953781,-8.317257161955899,-0.4873596550222849,-17.192119383360076,3.2344476653176266,-0.9646170378920208,0.14387770117404525,0.10925468444952346,-0.21755697152324568,0.26375750345137855,-0.03180989991311653,0.10998343713704412,0.13877230348180952,0.024383471028071244,0.1120170887740152,0.09895090385931991,0.08761050679440488,0.05893090538674089,-0.06932959683301779,0.1193841718916545,-0.3179722441426781,0.26702488009693776,-0.15769397692686402,0.11101658446802878,0.0819692533644901,0.04434968556097656,0.22084347539165894,-0.1034571928712884,-0.01775271625556026,-0.11223044197096543,-0.07693529488907208,0.02084702029575746,0.06312658045895078,-0.010042682712141645,0.23240636990140268,-0.045027490461670525,0.35324603516232017,-0.21950832074618543,0.021310415199727036,-0.619353733482244,0.08222742884096615,-0.011993777988702468,-0.07192766995006496
2020-01-06,-9.719822376619335,-1.7167377292755657,1.6345649181114594,-11.85739355110652,-5.224675671574632,3.8058939464450665,-29.43733033012627,-5.631615386168224,13.412219783044922,-17.57614368334743,-2.711423359101958,0.1927231258878219,-27.033285029174827,2.176493887845071,-4.833959555835394,-15.625516989090976,3.648473107881597,-0.9560517951122234,-15.077599001196308,0.7591223065298878,0.2213829661983634,5.287184734102505,-7.073854254371039,-1.4548261771216635,9.456496648800968,1.5546991220065265,0.5937876736017264,-26.60016553501565,2.2511766130065105,-5.387462047698352,-30.696285400957407,3.519930637104813,-5.522893879347859,-33.04895559918561,-3.183602723820933,7.24745659832757,24.39496461134238,-12.029726460063175,-0.6750125851463578,-17.772921203475445,2.341315555076718,-1.386961151800196,0.14309816672335143,0.10253244805493357,-0.26497174724365286,0.20434181596914375,-0.0728244929870803,0.11379240265370612,0.11709614661541998,-0.011410134811441519,0.3296204738373701,0.12067195382926274,0.1918119829678689,-0.06418461214342223,-0.05497623984448845,0.12377979839319626,-0.2984084739402496,0.1854921560991568,-0.1784006643554167,0.0017858455159164757,0.010308103130718536,0.062312607605724366,0.1765195958481796,-0.14068309058707015,0.005075583400498967,-0.05283458918871725,0.15421026853949388,-0.1540715254325239,0.10533645263597102,0.02548403931634015,0.19489214313492015,0.08862647314833252,0.4054142831468308,-0.1714265276553389,0.01018742639363503,-0.7428894755926251,0.12713857264203832,-0.012208588292353769,-0.016320412655911453
2020-01-07,-10.949202917521257,-3.544519877446037,1.4052105569695272,-12.385509502827093,-5.925753798249077,3.80855092216629,-30.338252085484694,-6.141548489646583,12.310027932915782,-18.690937938910796,-4.889602487319966,-0.5861849946848341,-27.333518048534955,1.301006129252615,-4.239388733552675,-15.415273422427632,2.835397828338321,-1.5995475283489111,-15.99735771964334,-0.2890297510936301,-0.0316431997951771,3.9945186515267417,-9.45852322523432,-1.7172410868462258,8.285808096662734,-0.4278037622097586,0.2369834708583754,-27.518445810101746,1.3669643412747767,-5.38659938479529,-31.83931891465938,1.6884372076180112,-5.598689423465634,-33.51335109155862,-3.585527721725252,7.194139671703869,23.41870869130261,-12.711682391220334,-1.5284222770116207,-19.294521377297293,0.4580392638874406,-2.068002087227651,0.18322779497732497,0.07518079829259872,-0.3223637799475384,0.2357537616216702,-0.09831478858112903,0.08215157863793537,0.08996472754481666,-0.0641765808374241,0.30359753575906234,0.17995751011145922,0.27725654356450713,-0.051995960279910255,0.004890387513809158,0.03546487016181858,-0.2469371832218057,0.08561960722935537,-0.2355806909681894,-0.031812945705137145,0.022355185567970382,0.042467814685304105,0.13084356353638563,-0.11008919796572986,-0.16249970173002448,-0.06570427048191722,0.15057495383786224,-0.1312089557028851,0.06674870648550138,0.06633377639821098,0.2243396251209079,0.010098704787313442,0.36953413797281354,-0.12658936768050602,0.06567502656583951,-0.7246391642792027,0.20021992954476664,0.018854118390397523,0.03600478339223033
2020-01-08,-9.57762592804041,-1.3020792490192257,2.381327461956772,-11.877234572836947,-4.784410975719,4.298686479649263,-29.74496086725427,-3.397534248991896,12.422907452640702,-20.762312112043407,-7.564788304112253,-2.073245832929477,-26.03459427038934,3.4377278127688573,-2.8051925634578407,-13.948528247352389,6.080308923159508,-0.5363120910781551,-15.012917578730974,1.4893187715059175,0.8258995948731994,13.054817143378418,4.004264478222966,3.71209375896584,7.225043792725044,-1.4252707710703882,0.155652101164337,-26.539463965336587,3.655652275446867,-5.0195835581757215,-31.544286444782493,2.137624606100326,-4.426714834892174,-33.0513077174067,-3.1630052482800783,7.65712981967999,29.89355389468761,-6.634275579978278,3.9299799728719615,-18.408115080434168,2.7163437831681185,-1.6400451256640964,0.21426984716156366,0.14699571873509407,-0.17744776041429203,0.308063436000109,0.025987557905105048,0.07707659322037629,0.07270450890107462,-0.10373159470754567,0.16453592932012734,0.4669383591675441,0.2887770636742864,0.026146984629347957,0.03358588549690539,0.10817811503201925,-0.40210248322029524,0.3192022358055643,-0.24692158050467522,-0.07223362633672605,0.047491493165696785,0.059501061156165,0.23630412398302228,0.8215315823156738,-0.12367720482951589,-0.4911603209969533,0.18614356711606217,-0.18332909987990909,0.06991020876645125,-0.06384192001420574,0.160923752768785,-0.01989489323273131,0.39133101679344034,-0.2121188957728354,0.06679122213884012,-0.8043923551484088,0.1716783324829453,-0.053233889171068895,-0.10324490279850677
2020-01-09,-7.334347024083987,-0.0117964232990521,3.3613986228351904,-12.168286845561695,-4.903590355312364,3.889362532633081,-30.40575571762467,-3.7859267549950033,11.811554540191151,-18.972250979208408,-4.587875504250611,-0.5540777052356372,-26.616789917032207,2.363722862364156,-2.236774203427599,-15.277439169941864,4.209276437634729,-0.8187638748289064,-15.00857985272977,1.5337178574006014,0.3984554956433787,13.254164311807292,3.257138308545969,3.538545627329908,6.589071692204277,-1.807772894866728,-0.0953993688679202,-25.96799550124737,4.24949810796015,-3.400095308402563,-31.161269233745543,2.485064361927164,-3.4344089104701183,-33.879761077038694,-3.540601442829578,7.040666117296299,31.58436990823259,-3.0806920416710666,4.582619929805382,-18.937992842939277,1.6050819908315876,-1.937171182188963,0.22103295602342832,0.09275836363226375,-0.14411064988734884,0.27741546787402205,0.040545532759623436,0.08328690910079148,0.07990602301132337,-0.054053000303911754,0.2963687595065018,0.20927230296706806,0.14164713480612426,-0.06458138966747523,0.10192173593921619,-0.011583404320755476,-0.3740321900879312,0.21349695802944466,-0.23006711596424673,-0.023250600322440584,0.022788644301092436,0.032893438244746734,0.2717315828611496,0.8529866552324927,-0.1963513322746015,-0.5645733644818494,0.22495341983626962,-0.2156970990718126,-0.05814032608707932,-0.022953139690839702,0.09281765071652145,-0.06166673298879795,0.413134446710639,-0.16069764376612244,0.06465109544472025,-0.9038459146011534,0.1785914911802885,-0.01446755962550084,-0.08123031980381881
2020-01-10,-7.8685115730116735,-0.6446496254621392,2.939164816086352,-12.77470493645891,-5.713558810140757,3.5621619794310955,-30.649287033888776,-3.858514328236641,11.524748555268255,-18.94607043644557,-4.27760915766894,-0.1427015197912966,-27.203495115164607,1.4157776278145144,-2.8303841727018906,-16.077635113118447,3.3988485041882317,-0.6523883227456431,-16.565455732810065,-0.7375199453680854,0.1467070849607685,12.186236587988338,2.542512967719607,3.288001342788847,9.347080125403783,2.106837097862762,2.8358761381553568,-26.53404450853695,3.3479630746620668,-3.687375168055904,-32.0346112633583,1.3496904879382328,-3.943803003997476,-33.89757549698457,-3.557035210017303,6.224009415817541,30.04110330322795,-4.021777995981468,2.381843379418413,-19.748580126541107,1.6042906102776806,-1.711820562051833,0.15963094188410662,0.09385946980984136,-0.12312873248995254,0.2161012305433075,0.0396940752488431,0.061230927638175336,0.04958831212170983,-0.09169252431953512,0.30556506551123586,0.1706119074009943,0.10862168624600549,-0.08261785042822187,0.07083471496303545,-0.03792465842798762,-0.35906144216145697,0.24679261013277665,-0.23053794491736013,0.030883392173809386,0.09708184923400402,0.03655297034815878,0.16080167067484197,0.7784868177480876,-0.14205844933800132,-0.48867256536080783,0.38645934542266436,-0.2927496100134483,-0.06466456460393154,0.03606414356871107,0.12894255056291323,-0.0717437375628854,0.4680325566595955,-0.19591129692527523,-0.06061858755963315,-0.7380849369995036,0.1962300818551936,-0.02414727520179321,0.016325972974975456
2020-01-13,-7.814798960374371,-1.0993134623558731,2.598532199504412,-13.218456414056558,-6.145964144640056,3.03343564861362,-31.6634391959193,-4.271092684258168,10.709168681009604,-19.08039365838681,-4.787731116892468,-0.8862540725267577,-27.81180408725198,0.5472829936607235,-2.9797241700873185,-16.1649744312592,3.104979959711853,-0.7276949948931499,-17.05747530692482,-2.090014054651008,-0.6781810775683388,12.23005934432044,-0.0513520218287428,3.527364685040978,7.129933625318384,-1.2318039679976178,0.3392877309183236,-27.54744769759706,1.7460679717151146,-4.138535759248761,-31.83001960927419,1.9706931767965128,-4.126529348053092,-35.60946307714863,-4.459070128062077,5.615381670403071,32.833572724239055,-4.337134285039218,5.633052851369831,-19.75008047425647,-0.0616189406300282,-2.539336484965068,0.1268076227035945,0.025605971330954942,-0.21489456495363793,0.1662897073512246,0.003598218468300844,0.11191527352183925,0.015336398807046216,-0.13747990727609125,0.2400176274117045,0.15057379656098754,0.1698183523111136,-0.0445405128568007,0.10026227103960171,-0.06283130985871102,-0.2889540065247689,0.2027506537269957,-0.25525948756504224,0.08363342742862077,0.08286263783650984,-0.027134393283258895,0.06931961059102715,0.705793050901505,-0.356951832821436,-0.3720927451119691,0.0923618639041212,-0.265899974124989,-0.02445637108562533,0.10065787078776421,0.138928676066787,-0.031171120269937385,0.5042454724137495,-0.12277914954834485,0.014192569426537238,-1.1151666417040895,0.20755508133748743,-0.01755774367669916,-0.0527412877297088
2020-01-14,-8.64976146955885,-2.686616450043432,1.9949650700349872,-13.930159669702434,-6.855743423765031,2.872910953011856,-32.88336174717292,-4.9019428934148,9.761596113420572,-19.49599193883262,-5.0691242119850575,-0.8794750513460275,-28.359662939532395,-0.1595514512407065,-2.578106848757112,-18.54369778244999,-0.3291588388875044,0.886533924750215,-17.221741606705727,-1.8667964719955767,-0.2875878397161909,13.632624616032407,2.219584961427087,4.784046937149456,8.250657872292797,-0.3792315146872071,1.752877610989677,-27.744240856400104,1.0516732767876693,-3.940146539091821,-33.046769320483925,0.4198258247775674,-4.237051302648478,-36.3336614297565,-5.29106129563532,5.528431503027145,34.43017748765473,-0.927524865325558,3.5942470351757763,-20.449507554401432,-0.523989099903428,-1.8962012944839128,0.10775661981668491,0.0036824623785570235,-0.31842802681511473,0.152030801446233,-0.010229957572391497,0.09402078924650278,0.023006305554818446,-0.1615243163256488,0.24880133595673765,0.13661708926280414,0.19638992665570126,-0.040269172549411494,0.1358640268647709,-0.12454834828830111,-0.2638110952464937,0.0760809213194309,0.09513175239057746,0.19510975695850638,0.09717677461776542,0.0005152261022331114,0.05355970784733228,0.7734871251027639,-0.26990485613252324,-0.34199290171461744,0.24620278738777407,-0.33355596361801954,-0.0537721171605427,0.15654551533223485,0.17495855618852918,-0.11625956622339277,0.5395865871518469,-0.09853788790109798,-0.013553738837391284,-0.8812465050641186,0.20112430856942884,0.032719375805153175,-0.02686376398346568
2020-01-15,-2.3004811139730097,5.867456921012851,7.35181185522895,-9.70169509095625,-0.5599698339823345,5.814455879159127,-31.653923557406745,-4.016706889140347,11.431400077011212,-18.585270327711537,-3.284088188733309,-1.0043516111336144,-25.93437468103264,3.500196099841225,-1.0318715224780608,-18.9863569885858,-0.1261475405496184,-0.5459553523777103,-14.183977257969325,2.38246574158318,2.0220196791378524,11.28939439560306,-0.3306873292742989,3.64504398249026,7.432470026048656,-0.5068134854930018,0.690345677536381,-25.8068005297031,4.631359422463456,-3.344536692307817,-32.117346046130166,1.6167149038574689,-3.604665149911188,-34.88527643084447,-3.5140123100072405,7.254750418945351,44.24243939166658,12.679140013822932,11.386581691232225,-16.66882212592865,5.632109651652618,0.9388533343186364,0.41608083803004076,0.3080098491118669,-0.12277745747519937,0.41619960939688294,0.33316144053721236,0.08205906793805925,0.09730818197960561,-0.05353216709809435,0.15713434942617888,0.16280960532247424,0.02970907456693643,-0.04272376438693736,0.1859737045904128,0.02332790963674998,-0.3763942709823734,0.10432564482952193,-0.16077679175039591,0.14153622587253528,0.3258368108882271,0.0012448961389255886,0.22328936777928377,0.8058607642841216,-0.39839355934257087,-0.4050637756927931,0.2009415743035414,-0.2354008014555793,-0.009091850099844142,0.004774233805422569,0.12826333597439274,-0.07181652248535456,0.4323473356695891,-0.1813552678452815,0.03385619014338485,-0.8228749677400795,0.049137768502759166,0.07193745686063946,-0.20199979581474908
